field_ID,bee_species,sex,park,transect_ID,method,date,type,taxonomy_notes
CHOH 1_3,Andrena,m,CHOH,T216,pan trap,5/23/2022,cool season-hay,Andrena sp.
ANTI 11,Andrena,f,ANTI,T21,pan trap,5/26/2022,cool season-hay,Andrena sp. (imitatrix/morrisonella)
ANTI 11,Andrena,f,ANTI,T21,pan trap,5/26/2022,cool season-hay,Andrena sp. (imitatrix/morrisonella)
ANTI 11,Andrena,f,ANTI,T21,pan trap,5/26/2022,cool season-hay,Andrena sp. (imitatrix/morrisonella)
ANTI 11,Andrena,f,ANTI,T21,pan trap,5/26/2022,cool season-hay,Andrena sp. (imitatrix/morrisonella)
ANTI 21,Andrena,f,ANTI,T167,pan trap,5/25/2022,cool season-hay,Andrena sp. (imitatrix/morrisonella)
ANTI 21,Andrena,f,ANTI,T167,pan trap,5/25/2022,cool season-hay,Andrena sp. (imitatrix/morrisonella)
ANTI 21,Andrena,f,ANTI,T167,pan trap,5/25/2022,cool season-hay,Andrena sp. (imitatrix/morrisonella)
ANTI 21,Andrena,f,ANTI,T167,pan trap,5/25/2022,cool season-hay,Andrena sp. (imitatrix/morrisonella)
ANTI 33,Andrena,f,ANTI,T20,pan trap,6/8/2022,warm season-multi,Andrena sp. (imitatrix/morrisonella)
CHOH 0,Andrena,f,CHOH,T111,pan trap,5/23/2022,cool season-hay,Andrena sp. (imitatrix/morrisonella)
CHOH 9,Andrena,f,CHOH,T226,pan trap,6/15/2021,cool season-hay,Andrena sp. (imitatrix/morrisonella)
CHOH 9,Andrena,f,CHOH,T226,pan trap,6/15/2021,cool season-hay,Andrena sp. (imitatrix/morrisonella)
MONO 26,Andrena,f,MONO,T76,pan trap,5/21/2021,cool season-hay,Andrena sp. (imitatrix/morrisonella)
MONO 26,Andrena,f,MONO,T76,pan trap,5/21/2021,cool season-hay,Andrena sp. (imitatrix/morrisonella)
MONO 26,Andrena,f,MONO,T76,pan trap,5/21/2021,cool season-hay,Andrena sp. (imitatrix/morrisonella)
MONO 26,Andrena,f,MONO,T76,pan trap,5/21/2021,cool season-hay,Andrena sp. (imitatrix/morrisonella)
MONO 26,Andrena,f,MONO,T76,pan trap,5/21/2021,cool season-hay,Andrena sp. (imitatrix/morrisonella)
MONO 26,Andrena,f,MONO,T77,pan trap,5/21/2021,cool season-hay,Andrena sp. (imitatrix/morrisonella)
MONO 26,Andrena,f,MONO,T76,pan trap,5/21/2021,cool season-hay,Andrena sp. (imitatrix/morrisonella)
MONO 26,Andrena,f,MONO,T76,pan trap,5/21/2021,cool season-hay,Andrena sp. (imitatrix/morrisonella)
MONO 26,Andrena,f,MONO,T77,pan trap,5/21/2021,cool season-hay,Andrena sp. (imitatrix/morrisonella)
